sub,t,c,lh_fp,rh_fp,fp_mean
ak15,1,2,0.13467492363401967,0.17293775409504433,0.153806338864532
dc22,1,2,0.15243658470136037,0.1488009862766267,0.15061878548899355
fd28,1,2,0.1405266532629793,0.1268117881555439,0.1336692207092616
gb30,1,2,0.1481526348520712,0.1484988058017902,0.1483257203269307
jf13,1,2,0.1556858671440392,0.16287249095205622,0.15927917904804773
mf14,1,2,0.1220477958003734,0.14778377306134244,0.13491578443085792
oc29,1,2,0.14345553823479584,0.16403793014932389,0.15374673419205986
ri27,1,2,0.14701402361230198,0.13407213240136218,0.14054307800683208
xr25,1,2,0.13938644320305535,0.18364876458068954,0.16151760389187245
aa35,1,3,0.1386345789108852,0.1497635087155671,0.14419904381322615
ah39,1,3,0.13338638216429285,0.1499468783565271,0.14166663026041
ap34,1,3,0.22004004162871882,0.14648367762466186,0.18326185962669034
bc36,1,3,0.13265621721052429,0.14736138180364736,0.14000879950708583
eb40,1,3,0.16596764426445554,0.16172196733240538,0.16384480579843047
gc37,1,3,0.15010032273573287,0.16091151508713508,0.15550591891143398
gf42,1,3,0.16426840230753637,0.14415129064085894,0.15420984647419766
jk32,1,3,0.1445773000072823,0.14003254891885153,0.14230492446306692
lv31,1,3,0.16906784993509855,0.1535065781519014,0.1612872140435
rv38,1,3,0.16050988852401302,0.14533654577432611,0.15292321714916957
sc33,1,3,0.17679466847877928,0.17461813386465203,0.17570640117171565
aa43,1,4,0.15824985971281647,0.14328110916274395,0.1507654844377802
ak49,1,4,0.15771265857395875,0.1598208138574222,0.15876673621569048
an56,1,4,0.13551318125020018,0.14479939622841298,0.14015628873930658
aw44,1,4,0.14043029266703877,0.1637302974944185,0.15208029508072862
ce51,1,4,0.15703427763307307,0.23676140816026792,0.1968978428966705
ce53,1,4,0.15798540870768096,0.15115276713874726,0.1545690879232141
ch45,1,4,0.13673928630545806,0.16087679270109254,0.1488080395032753
ds60,1,4,0.13725869511529087,0.16045026495924128,0.1488544800372661
gb54,1,4,0.14795612213786247,0.15631863151718164,0.15213737682752204
jb52,1,4,0.16584826286860024,0.14836071642620205,0.15710448964740115
jt61,1,4,0.14815409752045317,0.16815444324088658,0.15815427038066987
lm46,1,4,0.16695326479584793,0.14778147417555695,0.15736736948570246
mm58,1,4,0.14882586370205572,0.1544526769960943,0.151639270349075
sa62,1,4,0.1504319564980336,0.14608997735988008,0.14826096692895685
se63,1,4,0.16902910824737866,0.17502159266717715,0.1720253504572779
sl48,1,4,0.15601669625819817,0.12845742046257402,0.14223705836038608
wb50,1,4,0.16970973106292006,0.15915306959869627,0.16443140033080816
aa35,1,5,0.15340366970234554,0.14680455306475282,0.15010411138354918
aj65,1,5,0.1465963565692979,0.13338685837087935,0.13999160747008862
al73,1,5,0.14088320552212205,0.15194983296319037,0.1464165192426562
gf42,1,5,0.15150406913784545,0.15425463257744437,0.15287935085764492
jc75,1,5,0.14235845074527687,0.1510283439926402,0.14669339736895853
kr70,1,5,0.12800125200272588,0.15142587828228668,0.13971356514250627
mw69,1,5,0.14126691006887834,0.18739864719782176,0.16433277863335005
pc66,1,5,0.12737786780723645,0.1265823851362527,0.12698012647174456
sg64,1,5,0.1643097918014388,0.1518304237185812,0.15807010776001
sr72,1,5,0.16208061994598788,0.14169917956519307,0.15188989975559047
tg68,1,5,0.1771723677250479,0.13967202026826844,0.1584221939966582
tm71,1,5,0.15775303045809216,0.17164318264095252,0.16469810654952233
zd74,1,5,0.16423308339711437,0.14392219657630123,0.15407763998670782
am83,1,6,0.15116684729968327,0.15153233050647208,0.15134958890307768
at85,1,6,0.1738071657143315,0.14662243784463513,0.16021480177948333
dc80,1,6,0.14544104159657792,0.14174817607559154,0.14359460883608471
ll81,1,6,0.14966853726470492,0.14717436743918882,0.14842145235194687
of82,1,6,0.14620760376855735,0.13428862729076607,0.1402481155296617
va84,1,6,0.14282536587335642,0.15887196902222103,0.15084866744778874
ag88,1,7,0.14033941531826907,0.14987827462467507,0.14510884497147208
ar89,1,7,0.15478306360923977,0.141668230709376,0.1482256471593079
cm86,1,7,0.13331879138492672,0.12901840742922427,0.13116859940707548
cm90,1,7,0.145015435487372,0.13956070349570326,0.14228806949153763
oc87,1,7,0.145571734777777,0.14071251312176003,0.1431421239497685
ac95,1,8,0.17783327011069255,0.13458648218853175,0.15620987614961215
bm91,1,8,0.15269499187496877,0.16399390115889162,0.1583444465169302
sk94,1,8,0.15864396524132207,0.17610802243256113,0.1673759938369416
tk92,1,8,0.1894829940577606,0.12703151697776532,0.15825725551776296
gb30,2,2,0.1707483479473622,0.16785525908392404,0.1693018035156431
jf13,2,2,0.13696657494192652,0.15907076747460316,0.14801867120826484
mf14,2,2,0.15511714058006046,0.14443198489144649,0.14977456273575346
oc29,2,2,0.14825588465053333,0.16400556238498265,0.15613072351775797
ri27,2,2,0.1843336461345485,0.1720845692148109,0.1782091076746797
xr25,2,2,0.13160355441957122,0.14915390055409178,0.1403787274868315
aa35,2,3,0.16539879592371096,0.16318761820888555,0.16429320706629824
ah39,2,3,0.14410073573852475,0.16258688359474263,0.1533438096666337
bc36,2,3,0.12041789703649858,0.14741680215157804,0.1339173495940383
eb40,2,3,0.14825140233932582,0.14459418199728438,0.14642279216830512
gc37,2,3,0.15831192676416928,0.131065270855515,0.14468859880984214
gf42,2,3,0.14331594963406213,0.133323628374527,0.13831978900429456
jk32,2,3,0.13275943709956772,0.15067583497734138,0.14171763603845455
lv31,2,3,0.13911607785355734,0.1431952460462192,0.14115566194988827
rv38,2,3,0.14275733256151313,0.13160021689517706,0.1371787747283451
sc33,2,3,0.1662849686612677,0.13540249391779186,0.15084373128952977
ak49,2,4,0.14772486763875795,0.15912726546334982,0.1534260665510539
an56,2,4,0.14279165294939639,0.1543053491445684,0.1485485010469824
aw44,2,4,0.13801817794633417,0.15341726294714797,0.14571772044674108
ce51,2,4,0.1386845487265389,0.13164631473746408,0.1351654317320015
ce53,2,4,0.13140723148020114,0.204806845400911,0.16810703844055608
ch45,2,4,0.160713044021804,0.14890910593669793,0.15481107497925095
ds60,2,4,0.15983363513250745,0.1594252143317097,0.15962942473210856
gb54,2,4,0.13612707456582904,0.11777139024358313,0.12694923240470607
jb52,2,4,0.14052840343509188,0.1533113898009105,0.1469198966180012
sa62,2,4,0.1487117165348292,0.1709242404448088,0.159817978489819
se63,2,4,0.15150049789541753,0.16694041304287355,0.15922045546914554
sl48,2,4,0.15429891367952414,0.16293809363777967,0.1586185036586519
wb50,2,4,0.14455115675346308,0.14000843017572306,0.14227979346459307
aa35,2,5,0.17281708939088467,0.1490735150476612,0.16094530221927295
al73,2,5,0.14404837422970618,0.14194200582260544,0.1429951900261558
gf42,2,5,0.14151590259076494,0.14885783779326298,0.14518687019201396
hc67,2,5,0.154226619189052,0.13099002602730145,0.14260832260817674
kr70,2,5,0.156660557058391,0.14267410536321956,0.14966733121080528
mw69,2,5,0.1580665638487541,0.14080959621788178,0.14943808003331793
pc66,2,5,0.15149680673299087,0.14860136815541294,0.15004908744420192
sg64,2,5,0.16186278669408136,0.1442301943505937,0.15304649052233754
tg68,2,5,0.1672453300866371,0.17497740441527038,0.17111136725095374
tm71,2,5,0.15477959575266825,0.13826010786841367,0.14651985181054095
zd74,2,5,0.1569457895431825,0.13028972566699773,0.1436177576050901
am83,2,6,0.15045034042788086,0.1415007891221303,0.14597556477500556
dc80,2,6,0.14774771047576934,0.14799605335965055,0.14787188191770995
ll81,2,6,0.1313659422865936,0.14157793684123043,0.13647193956391201
mp77,2,6,0.13329538934081436,0.15839950046019588,0.1458474449005051
va84,2,6,0.13366658859151198,0.13367828517575536,0.13367243688363367
ag88,2,7,0.15844446655659558,0.13815650311825134,0.14830048483742347
cm86,2,7,0.13927840930746627,0.1335959152086205,0.13643716225804337
bm91,2,8,0.1409503152141186,0.13489720596841825,0.13792376059126843
mb93,2,8,0.1543853282167936,0.1330345255918702,0.1437099269043319
sk94,2,8,0.16248364094630927,0.1294076973872581,0.1459456691667837
tk92,2,8,0.15047906950857692,0.16107092888888713,0.15577499919873203
