sub,t,c,lh_fp,rh_fp,fp_mean
ak15,1,2,0.13083625979156688,0.14429725783553426,0.13756675881355057
dc22,1,2,0.1499154971662642,0.13750276065209077,0.14370912890917747
fd28,1,2,0.13591327033402192,0.15587263628301445,0.1458929533085182
gb30,1,2,0.15083658826838622,0.15041850304043328,0.15062754565440975
jf13,1,2,0.1435696984148393,0.14048747815124485,0.14202858828304207
mf14,1,2,0.1862550538704163,0.13395075103660448,0.1601029024535104
oc29,1,2,0.1470467210666166,0.1514748909119507,0.14926080598928365
ri27,1,2,0.1439723239583603,0.16316038726473636,0.15356635561154833
xr25,1,2,0.129732175406317,0.1449049042540061,0.13731853983016157
aa35,1,3,0.16201211331412685,0.1517774490972153,0.15689478120567107
ah39,1,3,0.17109828761456627,0.14561132585426567,0.158354806734416
ap34,1,3,0.15935586008192065,0.1708720712471461,0.16511396566453337
bc36,1,3,0.15712309901472415,0.13895488113502089,0.14803899007487253
eb40,1,3,0.13555957736499014,0.15244542145905496,0.14400249941202253
gc37,1,3,0.14108414530767954,0.16523835634405842,0.15316125082586898
gf42,1,3,0.1330256587398301,0.14362788224404702,0.13832677049193856
jk32,1,3,0.1528940631201821,0.17397478898174784,0.16343442605096498
lv31,1,3,0.14347220410164183,0.15349240476961468,0.14848230443562827
rv38,1,3,0.16030573946137838,0.13477925835688945,0.1475424989091339
sc33,1,3,0.14707503753312828,0.1631480012487994,0.15511151939096385
aa43,1,4,0.14788141927719073,0.1606424313654506,0.15426192532132066
ak49,1,4,0.14303381261885123,0.1772841431399173,0.16015897787938427
an56,1,4,0.1470338563999829,0.14352778141519218,0.14528081890758754
aw44,1,4,0.147406895346616,0.14594256253048554,0.14667472893855077
ce51,1,4,0.16013723825196446,0.1567551030374808,0.15844617064472263
ce53,1,4,0.16683928102189197,0.15179958201898253,0.15931943152043726
ch45,1,4,0.14065870045795037,0.16174274057586585,0.1512007205169081
ds60,1,4,0.14835556040459238,0.1540534290181493,0.15120449471137085
gb54,1,4,0.14448614348820704,0.16664435127653168,0.15556524738236938
jb52,1,4,0.14641767155196983,0.15448238868755645,0.15045003011976316
jm59,1,4,0.1473778592343352,0.15289480592392335,0.15013633257912928
jt61,1,4,0.13930494917773015,0.15972405174422596,0.14951450046097806
lm46,1,4,0.13593314131554476,0.13867955328910792,0.13730634730232633
mm58,1,4,0.15148475486380672,0.14154095617409146,0.1465128555189491
sa62,1,4,0.16931818302227136,0.13659695411507922,0.1529575685686753
se63,1,4,0.15483232176231115,0.14399280152816052,0.14941256164523584
wb50,1,4,0.15925712773598544,0.13421620185349406,0.14673666479473974
aa35,1,5,0.14379347855466257,0.1489736359204786,0.14638355723757057
aj65,1,5,0.14526990937695866,0.14536652356871552,0.1453182164728371
al73,1,5,0.16498249971487178,0.1469279739384165,0.15595523682664414
gf42,1,5,0.1481760301435283,0.16056383628378187,0.15436993321365508
jc75,1,5,0.13802520509773308,0.15621904870519882,0.14712212690146595
kr70,1,5,0.14613503758868557,0.14328947958363722,0.14471225858616138
mw69,1,5,0.13598878875833448,0.1450583740583285,0.1405235814083315
pc66,1,5,0.20227221352947122,0.13759973501995637,0.1699359742747138
sg64,1,5,0.15305986184454545,0.13849789016458403,0.14577887600456474
sr72,1,5,0.14269119017639753,0.15571533703825274,0.14920326360732514
tg68,1,5,0.16269194765517514,0.15014339009542732,0.15641766887530123
tm71,1,5,0.14166204928689308,0.14129602456614004,0.14147903692651656
zd74,1,5,0.14511677123310873,0.1494879912113063,0.1473023812222075
am83,1,6,0.1500731419463095,0.15640312890612407,0.15323813542621678
at85,1,6,0.15202833766930846,0.16328584868887883,0.15765709317909365
dc80,1,6,0.14802162694159796,0.12899987184684034,0.13851074939421915
ll81,1,6,0.1481733038256514,0.13198820954021948,0.14008075668293543
mm79,1,6,0.15480821045654347,0.1497466656638912,0.15227743806021732
of82,1,6,0.15588642960960247,0.166894796544807,0.16139061307720473
va84,1,6,0.13981285423945183,0.15480171789759412,0.14730728606852297
ag88,1,7,0.1486213733802219,0.16942113797449687,0.1590212556773594
ar89,1,7,0.15333036533420152,0.14014270037276771,0.14673653285348462
cm90,1,7,0.1437127113839608,0.15633573375704782,0.1500242225705043
oc87,1,7,0.1288449698874964,0.14537137017857404,0.13710817003303521
ac95,1,8,0.15590437052977452,0.15728560365662247,0.1565949870931985
bm91,1,8,0.15299211638213192,0.15573130872694707,0.1543617125545395
sk94,1,8,0.15126936415240305,0.15157629975755207,0.15142283195497758
tk92,1,8,0.15615840756759303,0.16547722251485616,0.1608178150412246
gb30,2,2,0.1504198221172604,0.12692459185599023,0.1386722069866253
jf13,2,2,0.14168840313037634,0.14100367900252278,0.14134604106644955
mf14,2,2,0.15228584155211208,0.1499421278064198,0.15111398467926596
oc29,2,2,0.14928586940946847,0.15508840903752985,0.15218713922349916
ri27,2,2,0.1516704676302997,0.16148285849789307,0.1565766630640964
xr25,2,2,0.1421258975505565,0.17728170559947787,0.15970380157501718
aa35,2,3,0.1668898371933311,0.1378902118166398,0.15239002450498546
ah39,2,3,0.1351158208105388,0.15407714899596625,0.14459648490325253
bc36,2,3,0.14736529773224827,0.14747386222376518,0.14741957997800673
eb40,2,3,0.16669626991635406,0.16385244028039,0.16527435509837202
gc37,2,3,0.15607354387361244,0.15746903171640525,0.15677128779500885
gf42,2,3,0.14776598599982377,0.1522725764999882,0.150019281249906
jk32,2,3,0.14705962779419204,0.14975729984724054,0.1484084638207163
lv31,2,3,0.15511210198581576,0.14841643428836107,0.15176426813708843
rv38,2,3,0.15843268090745208,0.15883398226702983,0.15863333158724097
sc33,2,3,0.147160531646934,0.16067277170139005,0.15391665167416202
ak49,2,4,0.14284824580454822,0.14606633271996045,0.14445728926225432
an56,2,4,0.1623891675049137,0.1420337526977198,0.15221146010131675
aw44,2,4,0.14158760013436567,0.1624389297204964,0.15201326492743103
ce51,2,4,0.1399020153105968,0.1384342160869845,0.13916811569879065
ce53,2,4,0.13873677595992828,0.15104231484837388,0.14488954540415108
ch45,2,4,0.16991776154038823,0.15774554125452886,0.16383165139745853
ds60,2,4,0.14022924155269997,0.14464191634873425,0.14243557895071712
gb54,2,4,0.13263696467234756,0.13797173974299304,0.1353043522076703
jb52,2,4,0.15735796579267008,0.15349880601067034,0.1554283859016702
sa62,2,4,0.16233899018568093,0.1437223210594452,0.15303065562256307
se63,2,4,0.16054780679141434,0.15373768423929932,0.15714274551535684
sl48,2,4,0.12845825123446183,0.13994192904730185,0.13420009014088186
wb50,2,4,0.15207183605986868,0.13637203962630368,0.14422193784308618
aa35,2,5,0.13760024080361055,0.14051535356141248,0.13905779718251152
al73,2,5,0.1476723721820578,0.14387276776984428,0.14577256997595106
gf42,2,5,0.1413281970707993,0.15370101526596336,0.14751460616838133
hc67,2,5,0.14222461600451888,0.1458174531347299,0.1440210345696244
kr70,2,5,0.14119148462215236,0.155045139868102,0.14811831224512717
mw69,2,5,0.13879529926412845,0.1607638303067475,0.14977956478543797
pc66,2,5,0.13875835217242896,0.16496823713356593,0.15186329465299744
sg64,2,5,0.13596895999529002,0.16038002417679198,0.148174492086041
tg68,2,5,0.1539968909183433,0.16943415145722138,0.16171552118778232
tm71,2,5,0.1630020227135135,0.14657645831685706,0.15478924051518528
zd74,2,5,0.1348230388047223,0.14659884696923411,0.14071094288697822
am83,2,6,0.15028908082093972,0.13403872757270913,0.14216390419682443
bg78,2,6,0.1499905031580234,0.15455910154335997,0.15227480235069168
