sub,t,c,lh_fp,rh_fp,fp_mean
ak15,1,2,0.15059345651418365,0.16001305912795527,0.15530325782106946
dc22,1,2,0.14913571113617857,0.14169677862679186,0.14541624488148522
fd28,1,2,0.13980829628495595,0.14209076983971533,0.14094953306233565
gb30,1,2,0.13801333928411508,0.1404487606546307,0.13923104996937288
jf13,1,2,0.14816316606158592,0.15174073741107805,0.14995195173633197
mf14,1,2,0.18641876332252877,0.16024933582644293,0.17333404957448584
oc29,1,2,0.16303618558726646,0.15613336832106472,0.1595847769541656
ri27,1,2,0.14803603568057613,0.16346050146155994,0.15574826857106805
xr25,1,2,0.14982438252743321,0.15456991537548098,0.15219714895145708
aa35,1,3,0.14152932969047186,0.1329703461087416,0.1372498378996067
ah39,1,3,0.14336078445430234,0.1718593895317555,0.15761008699302892
ap34,1,3,0.17480005150916655,0.15196742696733911,0.16338373923825283
bc36,1,3,0.15784003185611417,0.1442042317485437,0.15102213180232893
eb40,1,3,0.1421232413546316,0.1498260810122204,0.145974661183426
gc37,1,3,0.16262218848283427,0.14007108606547514,0.1513466372741547
gf42,1,3,0.17969934745628469,0.15189067051656957,0.16579500898642713
jk32,1,3,0.13582195153791812,0.14595139490814202,0.14088667322303006
lv31,1,3,0.15898822621907524,0.13955913879808546,0.14927368250858036
rv38,1,3,0.1522344696173446,0.1485904437738656,0.1504124566956051
sc33,1,3,0.15379263759241346,0.13634877336741358,0.14507070547991352
aa43,1,4,0.16030100298729097,0.14753158504070654,0.15391629401399876
ak49,1,4,0.16170321541446966,0.14990621339048313,0.1558047144024764
an56,1,4,0.14847536929441565,0.1560326728920708,0.1522540210932432
aw44,1,4,0.14961421010837903,0.14563795544940905,0.14762608277889405
ce51,1,4,0.14771681086397356,0.1642182905793792,0.1559675507216764
ce53,1,4,0.1401680075993884,0.14054542900358058,0.1403567183014845
ch45,1,4,0.14377452103623312,0.15494632169008662,0.14936042136315986
ds60,1,4,0.14656768522766386,0.16940962848912217,0.15798865685839303
gb54,1,4,0.14780037201570395,0.15312727844821902,0.1504638252319615
jb52,1,4,0.15886179411382306,0.19030034460918355,0.1745810693615033
jm59,1,4,0.14773535491474998,0.15828671218207002,0.15301103354841
jt61,1,4,0.17796406834325693,0.14936281269303234,0.16366344051814463
lm46,1,4,0.1701962545740803,0.159863565975365,0.16502991027472264
mm58,1,4,0.13056053870633433,0.14573072007166898,0.13814562938900166
sa62,1,4,0.1428581361427714,0.1494383071267058,0.14614822163473862
se63,1,4,0.14190410323034527,0.16769621648032995,0.15480015985533763
sl48,1,4,0.18428670982714124,0.16267630098914787,0.17348150540814455
wb50,1,4,0.14303501800495239,0.15984044703378394,0.15143773251936815
aa35,1,5,0.13916369787351834,0.16367192832164912,0.15141781309758373
aj65,1,5,0.1615439638561398,0.15931232972358328,0.16042814678986156
al73,1,5,0.14452138336825593,0.1744787235608845,0.15950005346457022
gf42,1,5,0.13548402698654757,0.14467141630254474,0.14007772164454615
hc67,1,5,0.1319820238279876,0.17711167385008286,0.15454684883903524
jc75,1,5,0.13476191091442574,0.13884731720846016,0.13680461406144295
kr70,1,5,0.1420502551343793,0.1677598638692405,0.15490505950180988
mw69,1,5,0.1470098015127847,0.15431362012749095,0.15066171082013782
pc66,1,5,0.15847689923419855,0.1514204702192773,0.15494868472673792
sg64,1,5,0.1591903651040421,0.1558243509237679,0.157507358013905
sr72,1,5,0.16208082059197082,0.16318738564257512,0.16263410311727297
tg68,1,5,0.14886253075021663,0.1569253612252049,0.15289394598771078
tm71,1,5,0.14303305282772283,0.14161652761974802,0.14232479022373543
zd74,1,5,0.13725102897948904,0.14365923196279357,0.1404551304711413
am83,1,6,0.1604991816826746,0.14995177283511263,0.15522547725889363
at85,1,6,0.13193604385234387,0.16234514811907702,0.14714059598571044
bg78,1,6,0.16156163024187473,0.15769158747131262,0.1596266088565937
dc80,1,6,0.16534002067993706,0.1554344067271326,0.16038721370353481
ll81,1,6,0.15248174885342103,0.15515932028640222,0.15382053456991163
mm79,1,6,0.13960088261826428,0.17805365740585702,0.15882727001206065
of82,1,6,0.13034704736519578,0.17940434857341553,0.15487569796930567
va84,1,6,0.16554309399145742,0.17362206628704566,0.16958258013925154
ag88,1,7,0.14948597947950376,0.13580635533014318,0.14264616740482347
ar89,1,7,0.15570161550286593,0.14029811368861778,0.14799986459574185
cm86,1,7,0.12706752630018306,0.17399373666499013,0.1505306314825866
cm90,1,7,0.15856886106361742,0.13274360696711562,0.14565623401536654
oc87,1,7,0.1724080709170297,0.1578486615897311,0.1651283662533804
ac95,1,8,0.14114732797309268,0.16307814743313928,0.15211273770311598
bm91,1,8,0.1399672262583153,0.14179864924509872,0.14088293775170702
sk94,1,8,0.16915221097496871,0.14970391962540755,0.15942806530018813
tk92,1,8,0.14586761642256252,0.15722315403958875,0.15154538523107564
gb30,2,2,0.1539885280872346,0.15895707258537153,0.15647280033630306
jf13,2,2,0.13828072924021187,0.1648386340383331,0.15155968163927247
mf14,2,2,0.13806536786126306,0.12484957222215387,0.13145747004170846
oc29,2,2,0.16484707344130517,0.1454034085385554,0.1551252409899303
ri27,2,2,0.1617727163322444,0.15488396860619832,0.15832834246922137
xr25,2,2,0.13827379462456263,0.15134769589581984,0.14481074526019122
aa35,2,3,0.13841001058568347,0.14928480859005466,0.14384740958786907
ah39,2,3,0.1472969992447521,0.15465411073649507,0.1509755549906236
bc36,2,3,0.14421000135837356,0.17683062181631845,0.160520311587346
eb40,2,3,0.14158795268841595,0.1394404698919369,0.14051421129017644
gc37,2,3,0.14325331597206908,0.16588645627414192,0.15456988612310552
gf42,2,3,0.14872554002564353,0.14653858747111698,0.14763206374838025
jk32,2,3,0.17904925980914044,0.16850076551500337,0.1737750126620719
lv31,2,3,0.14924075413344026,0.13477970790968988,0.14201023102156507
rv38,2,3,0.14743509089087622,0.1360949725286093,0.14176503170974275
sc33,2,3,0.16177933394011093,0.1412430668393631,0.15151120038973703
ak49,2,4,0.14709925828940953,0.14237040886085944,0.1447348335751345
an56,2,4,0.1247951525996758,0.1416925717009392,0.1332438621503075
aw44,2,4,0.16491801384854454,0.15263757064834194,0.15877779224844324
ce51,2,4,0.14632259849483137,0.15826620655393273,0.15229440252438203
ce53,2,4,0.1576027302764457,0.14257653918383134,0.15008963473013853
ch45,2,4,0.14390245384035352,0.14753155065740234,0.14571700224887793
ds60,2,4,0.14659032814603778,0.18193593755877419,0.16426313285240599
gb54,2,4,0.13403024274136396,0.14470988496109394,0.13937006385122896
jb52,2,4,0.16160342688578389,0.15441919286179734,0.1580113098737906
sa62,2,4,0.148226364942181,0.14327382931512198,0.1457500971286515
se63,2,4,0.1611286306772297,0.16051332500824483,0.16082097784273727
