sub,t,c,lh_fp,rh_fp,fp_mean
ak15,1,2,0.14426875991952975,0.1608702635774875,0.15256951174850863
dc22,1,2,0.13184943871149435,0.1559253863896814,0.14388741255058787
fd28,1,2,0.1377070139591238,0.14712529548471415,0.14241615472191899
gb30,1,2,0.1418180467976099,0.16670217803401793,0.15426011241581392
jf13,1,2,0.15302956322833489,0.15594819002226512,0.1544888766253
mf14,1,2,0.1422116704256794,0.1615292427685584,0.1518704565971189
oc29,1,2,0.14538278325366372,0.13788517825491392,0.14163398075428882
ri27,1,2,0.15136794585697916,0.14836331409880554,0.14986562997789235
xr25,1,2,0.16286530653913683,0.1602484381085717,0.16155687232385427
aa35,1,3,0.13201886752947842,0.1450945138794871,0.13855669070448276
ah39,1,3,0.14671612637550832,0.134624562064185,0.14067034421984664
ap34,1,3,0.13980986768128803,0.15410218095121098,0.1469560243162495
bc36,1,3,0.15699643174303668,0.15995273855916864,0.15847458515110266
eb40,1,3,0.14349142475885085,0.16243007288436245,0.15296074882160665
gc37,1,3,0.13791138601273298,0.13935187968804047,0.1386316328503867
gf42,1,3,0.14645231641001102,0.1408954224937214,0.14367386945186622
jk32,1,3,0.14837949099459424,0.15890027320564087,0.15363988210011756
lv31,1,3,0.16268239484393335,0.14457560873588643,0.1536290017899099
rv38,1,3,0.13300313824996896,0.15033364626566928,0.14166839225781913
sc33,1,3,0.14619500016896994,0.15321543558381226,0.1497052178763911
aa43,1,4,0.1617666689964023,0.1573136586329509,0.15954016381467662
ak49,1,4,0.13118573482751106,0.13549619276093228,0.13334096379422167
an56,1,4,0.13404350088192735,0.18061476028888807,0.1573291305854077
aw44,1,4,0.14100025156782947,0.1360865207188164,0.13854338614332296
ce51,1,4,0.1650833782614376,0.15461710714003163,0.1598502427007346
ce53,1,4,0.16046795929855046,0.1402365486164935,0.150352253957522
ch45,1,4,0.1523522548911152,0.1466766601937578,0.1495144575424365
ds60,1,4,0.14086912795917805,0.15151579185953615,0.1461924599093571
gb54,1,4,0.12966708400153656,0.15085683782740938,0.14026196091447296
jm59,1,4,0.13377880550084786,0.13741953447389849,0.13559916998737317
jt61,1,4,0.14816882282475385,0.15176561002405925,0.14996721642440655
lm46,1,4,0.16252787795803011,0.160995885798091,0.16176188187806056
mm58,1,4,0.13860581259777416,0.14719548283240264,0.1429006477150884
sa62,1,4,0.15459793423304086,0.14309308864203618,0.14884551143753852
se63,1,4,0.1415720486077448,0.14478991512898498,0.1431809818683649
sl48,1,4,0.15453536555478897,0.1534111589495093,0.15397326225214913
wb50,1,4,0.17459813278051178,0.16038595342507575,0.16749204310279375
aa35,1,5,0.18594742022869393,0.15887943386917452,0.17241342704893423
aj65,1,5,0.1362743672890923,0.15027054213073113,0.14327245470991173
al73,1,5,0.15962164078222363,0.17952613570429446,0.16957388824325903
gf42,1,5,0.1587182127804729,0.136844382657194,0.14778129771883347
jc75,1,5,0.15316361905800926,0.14016253908018717,0.1466630790690982
kr70,1,5,0.13883330984298853,0.148192816384909,0.14351306311394876
mw69,1,5,0.16263118552195074,0.14705671408513477,0.15484394980354277
pc66,1,5,0.13814195755986125,0.14651915278797467,0.14233055517391796
sg64,1,5,0.15230350927656466,0.14430605708544275,0.1483047831810037
sr72,1,5,0.14010472961318443,0.16420465826225736,0.1521546939377209
tg68,1,5,0.1605791594445875,0.15126174797304195,0.15592045370881474
tm71,1,5,0.14563422900007666,0.16192079456211578,0.15377751178109622
zd74,1,5,0.15512162400724858,0.14051150921850425,0.1478165666128764
am83,1,6,0.16559091515773386,0.13667348830066753,0.1511322017292007
at85,1,6,0.16333746008248307,0.16751694463513328,0.16542720235880817
bg78,1,6,0.14333008093269986,0.14039425546855544,0.14186216820062764
dc80,1,6,0.15612624530629748,0.14097615844004074,0.14855120187316911
ll81,1,6,0.1416176808321674,0.13316347607818807,0.13739057845517771
mm79,1,6,0.14991316414265266,0.17307200832290676,0.1614925862327797
of82,1,6,0.14490871572667025,0.1510685706071704,0.14798864316692034
va84,1,6,0.15580152955946605,0.15428755265392502,0.15504454110669552
ag88,1,7,0.14960143128529677,0.13761361490138174,0.14360752309333924
ar89,1,7,0.15254743881888438,0.16988465723248042,0.1612160480256824
cm86,1,7,0.15668488115491697,0.12286565349625644,0.1397752673255867
cm90,1,7,0.13735548227324862,0.1641608155791692,0.15075814892620892
oc87,1,7,0.1286738425993038,0.15698124264794744,0.14282754262362563
ac95,1,8,0.15261574440291886,0.14278152112588555,0.1476986327644022
bm91,1,8,0.1416463214394887,0.13610235398973014,0.1388743377146094
sk94,1,8,0.16035347811524372,0.14843622034950113,0.15439484923237243
tk92,1,8,0.17206253474272826,0.1394129388737765,0.15573773680825237
gb30,2,2,0.14641451652544982,0.1519888133166416,0.1492016649210457
jf13,2,2,0.15378786184747403,0.14346171774449967,0.14862478979598687
mf14,2,2,0.12263880967101569,0.13313471553726064,0.12788676260413817
oc29,2,2,0.17531462109338436,0.1491411203832494,0.16222787073831688
ri27,2,2,0.1366071172107281,0.15208171868718823,0.14434441794895816
xr25,2,2,0.14778756980201418,0.13694852738656535,0.14236804859428975
aa35,2,3,0.1487819128538213,0.13656615104788308,0.1426740319508522
ah39,2,3,0.137958167271211,0.14892313071197216,0.1434406489915916
bc36,2,3,0.16136306848899373,0.1594132518564183,0.16038816017270602
eb40,2,3,0.14941633827175316,0.15295906986141733,0.15118770406658524
gc37,2,3,0.1625561403242682,0.17628383872884257,0.1694199895265554
gf42,2,3,0.14055179060353087,0.1473117491112165,0.1439317698573737
jk32,2,3,0.14108665970355216,0.13552952426240983,0.138308091982981
lv31,2,3,0.14976302846995,0.14600996233952815,0.14788649540473908
rv38,2,3,0.13637661497914702,0.14325214285636204,0.13981437891775453
sc33,2,3,0.14857308716639228,0.16916132902648048,0.1588672080964364
an56,2,4,0.15999219036999335,0.15448589386905015,0.15723904211952175
aw44,2,4,0.148055601422622,0.15452604777307072,0.15129082459784637
ce51,2,4,0.16045432454617062,0.14581341606986487,0.15313387030801773
ce53,2,4,0.1463771888362826,0.16807371623766434,0.15722545253697345
ch45,2,4,0.1476813142704453,0.13738174088362476,0.14253152757703502
ds60,2,4,0.13352192835079335,0.15716009595228014,0.14534101215153675
gb54,2,4,0.1291262949850781,0.1444539067960039,0.136790100890541
jb52,2,4,0.13489698038182618,0.13955941584131334,0.13722819811156978
sa62,2,4,0.1500797976188995,0.14271768021968897,0.14639873891929422
se63,2,4,0.14993247298457316,0.13891778539055838,0.14442512918756578
sl48,2,4,0.16647175424137856,0.18867772512527436,0.17757473968332646
wb50,2,4,0.1455884565852173,0.14743976058275335,0.14651410858398534
aa35,2,5,0.1651479517007673,0.15573509998995455,0.16044152584536092
al73,2,5,0.1557859086648765,0.15932106179009844,0.15755348522748747
gf42,2,5,0.15735505047374898,0.1702552814397284,0.1638051659567387
hc67,2,5,0.1434098418623021,0.1958583777570291,0.1696341098096656
kr70,2,5,0.1444607454983132,0.15374775860823622,0.1491042520532747
mw69,2,5,0.16126167365505745,0.1380678630733379,0.14966476836419768
pc66,2,5,0.14993991065680579,0.1476222743830723,0.14878109251993904
sg64,2,5,0.1613649197156496,0.14940063021358865,0.1553827749646191
tg68,2,5,0.13622706031886583,0.17509842647023904,0.15566274339455244
tm71,2,5,0.17731692364522636,0.16445565614032956,0.17088628989277796
