sub,t,c,lh_fp,rh_fp,fp_mean
ak15,1,2,0.13203685501324236,0.1586825352096355,0.14535969511143892
dc22,1,2,0.13179421313848938,0.13707617250915935,0.13443519282382438
fd28,1,2,0.14985449926085417,0.14908736884327778,0.14947093405206596
gb30,1,2,0.1524352128744567,0.14761985126748967,0.1500275320709732
jf13,1,2,0.16094501566471425,0.17831432579272366,0.16962967072871896
mf14,1,2,0.14814405530133007,0.17811550437311402,0.16312977983722204
oc29,1,2,0.16836979761534238,0.14722160355371808,0.15779570058453024
ri27,1,2,0.13103743876092697,0.1461985233465548,0.1386179810537409
xr25,1,2,0.16588548214963927,0.1328760369978631,0.1493807595737512
aa35,1,3,0.1590590195023093,0.13363886065181452,0.1463489400770619
ah39,1,3,0.21549966574835852,0.16226277112589158,0.18888121843712505
ap34,1,3,0.14306869088383622,0.13452387873236776,0.138796284808102
bc36,1,3,0.15332948751922096,0.15137926935698584,0.1523543784381034
eb40,1,3,0.16047250001329527,0.1306500498501662,0.14556127493173074
gc37,1,3,0.15503279159432537,0.16711636356293436,0.16107457757862986
gf42,1,3,0.14223123495593798,0.14820089813195494,0.14521606654394648
jk32,1,3,0.14008499751924244,0.13857977162939628,0.13933238457431935
lv31,1,3,0.15887542062732643,0.1384596889992108,0.1486675548132686
rv38,1,3,0.16511021973510565,0.1670667986526247,0.16608850919386517
sc33,1,3,0.14681350108810595,0.19617264627663863,0.1714930736823723
aa43,1,4,0.15193105910962307,0.14230918989552463,0.14712012450257383
ak49,1,4,0.13931761053640246,0.13690840873263638,0.13811300963451942
an56,1,4,0.1460970423957385,0.15842342634061363,0.15226023436817607
aw44,1,4,0.16694942361216175,0.15557220866818042,0.16126081614017107
ce51,1,4,0.1617620011679461,0.17970801418840712,0.17073500767817662
ce53,1,4,0.18021614185340779,0.12929294679088554,0.15475454432214666
ch45,1,4,0.1529695337542757,0.15306492331685675,0.1530172285355662
ds60,1,4,0.146765837819821,0.13547921728107898,0.14112252755045
gb54,1,4,0.14706347688805665,0.1432223843203264,0.14514293060419153
jb52,1,4,0.1506577079081458,0.13971283228867304,0.14518527009840942
jm59,1,4,0.15922172140063995,0.1570846008097927,0.15815316110521632
jt61,1,4,0.14882491044768748,0.146248139667347,0.14753652505751724
lm46,1,4,0.14799009719905004,0.150583250887724,0.14928667404338702
mm58,1,4,0.15100592564346765,0.14556735236682047,0.14828663900514405
sa62,1,4,0.14846480327640835,0.15564146084250338,0.15205313205945586
se63,1,4,0.1388574208643107,0.16294273220579653,0.1509000765350536
wb50,1,4,0.14742222013667208,0.14545493367657164,0.14643857690662188
aa35,1,5,0.14917235656782912,0.14447568479644085,0.146824020682135
aj65,1,5,0.15380890192610064,0.14313006044964866,0.14846948118787465
al73,1,5,0.13332895290816194,0.168583553662589,0.15095625328537549
gf42,1,5,0.15904668955172652,0.14808118610485937,0.15356393782829295
jc75,1,5,0.1625584790895549,0.1489839780069793,0.15577122854826708
kr70,1,5,0.14058846250321844,0.15424787189854328,0.14741816720088086
mw69,1,5,0.17051798525167705,0.1401166780725117,0.15531733166209438
pc66,1,5,0.163456472117872,0.16958922355143302,0.16652284783465252
sg64,1,5,0.14015407353855497,0.14569898341184678,0.14292652847520088
sr72,1,5,0.15050701990487675,0.18423838688666944,0.1673727033957731
tg68,1,5,0.14747703828015324,0.13464192710548326,0.14105948269281826
tm71,1,5,0.13686387140257011,0.14889567069831142,0.14287977105044075
zd74,1,5,0.1537740976424841,0.15008989218053076,0.15193199491150744
am83,1,6,0.13507014263185532,0.1480469484831878,0.14155854555752156
at85,1,6,0.14864510816918652,0.1371125245434866,0.14287881635633656
dc80,1,6,0.14622145764281907,0.15551909023881963,0.15087027394081937
ll81,1,6,0.14533359414945826,0.14302864687173134,0.14418112051059478
of82,1,6,0.1580808408576032,0.20889818224518855,0.18348951155139587
va84,1,6,0.14825728623000628,0.15688789780035017,0.15257259201517823
ag88,1,7,0.15529740646814583,0.12917759600722173,0.14223750123768378
ar89,1,7,0.154316742264567,0.1726491656775972,0.1634829539710821
cm86,1,7,0.1848367093749036,0.11238679664106983,0.1486117530079867
cm90,1,7,0.1533670420067429,0.16725136588162512,0.16030920394418402
oc87,1,7,0.1379103035678575,0.1429965756337016,0.14045343960077955
ac95,1,8,0.14128311416699363,0.16713645031583566,0.15420978224141463
bm91,1,8,0.13784814178505655,0.15280059220314746,0.145324366994102
sk94,1,8,0.1670980471269721,0.15109492607592573,0.15909648660144893
tk92,1,8,0.1554676559416771,0.1428065849993576,0.14913712047051736
gb30,2,2,0.13699316900300718,0.1406304438111563,0.13881180640708174
jf13,2,2,0.1401190766140371,0.15952426772844064,0.14982167217123887
mf14,2,2,0.16601804703581657,0.1498947235947704,0.1579563853152935
oc29,2,2,0.1377304512934708,0.14817516504115877,0.1429528081673148
ri27,2,2,0.142889650745099,0.14004060886277958,0.14146512980393927
xr25,2,2,0.15516492407888657,0.16314886143199303,0.15915689275543982
aa35,2,3,0.13152984156046457,0.13515378661387445,0.1333418140871695
ah39,2,3,0.15742942225984102,0.162848699140349,0.160139060700095
bc36,2,3,0.16206400864353177,0.15894064421932963,0.1605023264314307
eb40,2,3,0.14960608985214408,0.14691061642040543,0.14825835313627475
gc37,2,3,0.14653525559488004,0.1440517825108198,0.14529351905284993
gf42,2,3,0.17874514157352414,0.15996422445702235,0.16935468301527323
jk32,2,3,0.15854024299555333,0.17198404523608873,0.16526214411582102
lv31,2,3,0.14480350699798486,0.13895710834640657,0.14188030767219573
rv38,2,3,0.14338589895096726,0.14199945745563752,0.1426926782033024
sc33,2,3,0.1584153327854405,0.15934435843280176,0.15887984560912113
ak49,2,4,0.12978220168351726,0.15059526499674447,0.14018873334013088
an56,2,4,0.1555608387562033,0.14290908936086552,0.14923496405853443
aw44,2,4,0.14188409834136995,0.18811102216715225,0.1649975602542611
ce51,2,4,0.14522016024723944,0.17419828352230132,0.15970922188477038
ce53,2,4,0.15773191509880624,0.14387209793442154,0.1508020065166139
ch45,2,4,0.1512678620904873,0.1535130205823489,0.1523904413364181
ds60,2,4,0.14670804238608048,0.13509552336561353,0.140901782875847
gb54,2,4,0.1802805743579785,0.15891225859516475,0.16959641647657164
jb52,2,4,0.16122081300117155,0.17938801091443474,0.17030441195780316
sa62,2,4,0.1404450477080565,0.1529048999711088,0.14667497383958264
se63,2,4,0.1457233702080168,0.1470043198624732,0.146363845035245
sl48,2,4,0.148009727761481,0.14102760676312717,0.14451866726230408
wb50,2,4,0.13884870146003542,0.1542887092602398,0.1465687053601376
aa35,2,5,0.13690352942246847,0.17433266547728338,0.15561809744987593
al73,2,5,0.166214111527963,0.1480499322731953,0.15713202190057915
gf42,2,5,0.1428860880183092,0.1528803524666428,0.14788322024247602
hc67,2,5,0.15871567111870633,0.1489546454119951,0.1538351582653507
kr70,2,5,0.16770175035804052,0.15926839629976258,0.16348507332890155
mw69,2,5,0.15443709945746803,0.1579198553482561,0.15617847740286206
pc66,2,5,0.1706832148053367,0.14073321979205358,0.15570821729869516
sg64,2,5,0.15024301139451846,0.14895069043405482,0.14959685091428665
